system	micro-p	micro-p-left	micro-p-right	micro-r	micro-r-left	micro-r-right	micro-f1	micro-f1-left	micro-f1-right	macro-p	macro-p-left	macro-p-right	macro-r	macro-r-left	macro-r-right	macro-f1	macro-f1-left	macro-f1-right
SF_UWashington3	0.528797817869	0.419743130227	0.633111257473	0.0680856923839	0.0377562028047	0.103898892138	0.120064692159	0.0697900484593	0.176053188084	0.073785225395	0.0483701366982	0.101929786827	0.05855772074	0.0372700196632	0.083339067945	0.0610343726218	0.0395437075108	0.0851451198813
SF_UTAustin1	0.536080509573	0.471824983995	0.602007542147	0.1904619128	0.154940849125	0.229487179487	0.280517752966	0.23725855336	0.324378749085	0.265457526664	0.221285801913	0.310499349056	0.206934282881	0.168878124707	0.246428178632	0.212467939184	0.175515555586	0.250718777717
SF_UWashington4	0.41386711949	0.289718014824	0.552941176471	0.0480023829119	0.0262455730152	0.0729169268232	0.0854910422526	0.0487127068536	0.124874353466	0.0626001892744	0.0390378548896	0.0898264984227	0.0551779049305	0.0335290979613	0.0801098357324	0.0562601381458	0.0347078400044	0.0814727900911
SF_MSIIPL_THU2	0.258861946706	0.204020453009	0.316666666667	0.0914803075591	0.0652958790303	0.121873590063	0.134695659557	0.10028939682	0.171674903542	0.108872153122	0.0799613985734	0.139831756046	0.120818010893	0.0894099437036	0.153790679126	0.0988481507747	0.0736802872232	0.125691661414
KB_BBN2	0.523382905361	0.47406314796	0.576925770308	0.341743773833	0.297352263934	0.384196687568	0.412952160693	0.373309638691	0.451180326946	0.388175296661	0.341471097033	0.434484827519	0.357543207219	0.313097376028	0.403046404813	0.342588196011	0.300162294698	0.385258824259
KB_hltcoe2	0.473128223493	0.408897312534	0.545677782438	0.257194939624	0.211642603743	0.304300048005	0.332435954846	0.286423245033	0.379666626121	0.257459189033	0.215965251888	0.300997763469	0.243003696391	0.202477832008	0.284376830397	0.234079877611	0.195684471282	0.273423468481
SF_MSIIPL_THU1	0.256726604595	0.209058741314	0.310771084337	0.101746406068	0.0734394901519	0.134495641345	0.145194424626	0.110869031352	0.182435113685	0.111875152618	0.0835759247299	0.142680399614	0.128222590462	0.0955216897907	0.162726534762	0.103490950369	0.0777963941529	0.131899111218
KB_ICTCAS_OKN2	0.9478	0.0	1.0	0.00337806608455	0.0	0.00781275464472	0.00672559789397	0.0	0.015504377388	0.00945173501577	0.0	0.0220820189274	0.0046088928947	0.0	0.0124680787141	0.00547823343849	0.0	0.0141955835962
KB_hltcoe5	0.475066715952	0.410921711731	0.543583892935	0.266817361016	0.21882845758	0.314155166459	0.340914189597	0.294367136561	0.387435037963	0.27062131034	0.227625720328	0.314135067615	0.258448642172	0.216633480177	0.300094061814	0.247562921556	0.207647389858	0.287791717126
KB_SAFT_ISI1	0.399925066766	0.315468073593	0.5	0.0674560010202	0.0466471474011	0.0919543575127	0.11499564274	0.082514155967	0.151660033621	0.0952237868178	0.0670979073503	0.126380169515	0.0890134558959	0.0613355714768	0.118878085791	0.0825871360924	0.0568463777825	0.110292630565
SF_CMUML1	0.596143839122	0.333333333333	0.875	0.0112790196226	0.0044691490423	0.0195657776782	0.0220967016423	0.00884882575055	0.0381143992516	0.0251492113565	0.00946372239748	0.0425867507886	0.0128635243831	0.00422999713221	0.0236698895216	0.0157429830947	0.00574294265146	0.0280012267788
SF_Stanford3	0.402285415723	0.335894621295	0.472703667837	0.357266151639	0.303357002979	0.409092438517	0.377509774686	0.330824580995	0.425091821513	0.371899357502	0.326485787962	0.41716133674	0.38269647707	0.335510929274	0.429144888147	0.354272378168	0.310698214203	0.397533087344
KB_UMass_IESL3	0.261107077168	0.185359959367	0.362725264378	0.169671674626	0.139698093643	0.203221368639	0.203833732832	0.169147185588	0.242679012089	0.215802946135	0.176110860001	0.257344817929	0.213141693547	0.174143398563	0.254787428695	0.190951497087	0.155797956489	0.228177503458
SF_MSIIPL_THU5	0.106950034424	0.0635838150289	0.156865595075	0.0191664158066	0.0106073513226	0.029748431769	0.0324023056413	0.0184153599285	0.0491815889029	0.0370635646688	0.0198475289169	0.0571766561514	0.0328403370342	0.0165083746432	0.0521284157483	0.0297428691603	0.0155090506234	0.0464250037554
SF_StaRAI20151	0.102676364265	0.0439557756696	0.18987518563	0.0348661674946	0.020338529865	0.0524024447447	0.0506737497561	0.0298768787136	0.0749507804809	0.0432817148479	0.0243953058858	0.0652831083685	0.0632405625657	0.0391692954784	0.0893796004206	0.0430004859821	0.0252570837685	0.0636662842206
SF_Stanford2	0.590996935218	0.521897239964	0.665428512209	0.204000019492	0.1668369416	0.244549145981	0.302663752746	0.258606351731	0.348315074906	0.304695014271	0.259330748335	0.352565720294	0.241118983599	0.202099005897	0.282082214615	0.245438938658	0.207135141911	0.285648101366
SF_UMass_IESL5	0.310508219344	0.254380136387	0.37148500522	0.197271531052	0.164746543779	0.231746234986	0.240743638632	0.204674080712	0.277243995951	0.228731716754	0.189437958938	0.270631306939	0.233338489854	0.193219692699	0.277172010445	0.205489682552	0.1695267305	0.243392662208
KB_hltcoe4	0.471037306686	0.405351680994	0.543935179501	0.263942097803	0.217244934985	0.311422870397	0.337490690528	0.2912	0.384322177901	0.264029268022	0.220804749444	0.308159591453	0.251191267553	0.208508603004	0.293859005269	0.240291647302	0.200215031037	0.280293666261
KB_ICTCAS_OKN3	0.480595662147	0.298245614035	0.69696969697	0.023736369853	0.0130254008016	0.0364058117202	0.0450863386767	0.0253666442134	0.0679747616931	0.0489087276551	0.0268138801262	0.0738728969506	0.034538233107	0.0175191601704	0.0547597107912	0.0336653274171	0.0174857293075	0.0521380039519
SF_UMass_IESL3	0.202766937146	0.154836498057	0.258656689532	0.228766290348	0.193950171309	0.265003056628	0.21415054457	0.177165177307	0.2524506422	0.210339068762	0.174359806397	0.24787394961	0.260279844424	0.218306186894	0.303763259083	0.203582625921	0.170308730138	0.238532836738
SF_Stanford4	0.597257164126	0.522517878703	0.672	0.196056906038	0.157218449474	0.238507256724	0.294516298908	0.24670837972	0.344832233479	0.299979049872	0.253173257473	0.347456874969	0.236742873977	0.196746612572	0.277553092823	0.241130821765	0.201703895358	0.281022413596
SF_UWashington2	0.618176725764	0.505882352941	0.736111111111	0.0564175195592	0.0393893792749	0.0757592407592	0.103202216271	0.0734290652839	0.135737249464	0.11175278654	0.0788643533123	0.146161934805	0.0710445282141	0.0482714150025	0.0969121954776	0.0772916988552	0.0534625110256	0.103284690686
